epoch,accuracy,training_time,loss
1,0.1135,14.930046319961548,2.3447206467707784
2,0.1135,15.169082403182983,2.301348222089983
3,0.1135,17.345118284225464,2.3012780617040867
4,0.1135,17.181118726730347,2.3012520110429224
5,0.1135,15.153216123580933,2.3012740713701065
6,0.1135,15.021290063858032,2.301258866975048
7,0.1135,14.99746060371399,2.3012980794601603
8,0.1135,15.17532205581665,2.3012684171896245
9,0.1135,15.115549802780151,2.301270217529492
10,0.1135,15.311785697937012,2.301266118153326
